text,label
nyari makan mudah cepat internet super ngebut ga bingung deh cari makan nya hehehe,positive
jago mainnya krn lancar mabar terosss,positive
coba langganan ah biar murah,positive
lupa stretching warrior pergerakan tubuh fit,negative
ngerjain wfh ku,positive
biar semangat puter musik youtube jaringan,positive
dri pagi jaringannya nggak terhubung gegara los nya kedip merah mulu udah reset modem teteo kedip merah,negative
gue kenape aarrrggghhhh,negative
selamat pagi rusak pagimu dgn mengeluh pagi yg keseharianmu semangat yg penuh semangat,negative
semangat kerjaan numpuk ya kawan bersyukur ikhlas kunci yg kerjakan berkah setia menemani menuntaskan pekerjaan online km semoga harimu menyenangkan,positive
yt w gabisa ya,negative
sumpah lihat tiktok puding serasa bikin hehehe mumpung pakai lihat puding temani jaringan super kencang,positive
wfh khawatir jaringan lelet,negative
tunggu usee apps store apps store yuk coba nikmati beragam aplikasi hiburan apps store bikin seru,positive
bikin kerjaanku mudah,positive
tolong sinyal udh minggu lemot banget dm dibalesnya mention,negative
kemarin lemot bgt laptop gue ya allah,negative
yakali iseng banget ngeblock website cognitoform,negative
tsel/ gangguan kah,negative
stress banget lemot banget sih pas hujan asli gue gabisa ngapangapain tri rumah gue bar wkwkk tetep cepet,negative
hayo sobat udah perbedaan teknologi g g jangan-jangan bingung ya kali mimin bahas topik intip penjelasannya yuk music sweet musician liqwyd,positive
wfh menyenangkan pakai jaringan,positive
serba cepat guys,positive
guys jaringan internetnya kudu biar lancar searching nya,positive
aktivitas apapun lancar,positive
semangat kerja bareng yaa,positive
internetan lancar ya guys,positive
asli daritadi jelek bett jaringan ny,negative
cerahnya bikin semangat menjalani,positive
udah selasa aja nih jaga kesehatannya tetep semangat yaaa jalanin aktivitas,positive
sumpahhh ganggu w streaming plis,negative
keren bgtt,positive
semangat gais cari apapun youtube bisaa bangeett,positive
mantap makasih terbhaeeek koneksinya stabil,positive
beres kerjaan kalo pakai,positive
laporan wifi troubel,negative
jelek ya,negative
ngapain khawatir kalo wfh pake wfh ku lancar,positive
beres kalo pokoknya,positive
semangat kerjanya pake jaringan biar ga lelet,positive
internetan lancar kerjaan lancar solusinya,positive
apadah ilang ilangan,negative
sore care pencabutan,negative
makan siang hasil searching ojek online pake jaringan,positive
bikin hati tenang beraktivitas,positive
tolong kerja nya,negative
mohon membutuhkan kekuatan indigo indiesunset menerjemahkan,negative
asu masang wifi harian dancuk banget providernya,negative
kerjaan selesai lancar jaringan,positive
keren,positive
kek kontol anjeng,negative
internet error mulu,negative
ngepet gangguan,negative
kerjaan dirumah cepet beres,positive
jg ya jaringannya,negative
wfh nyaman cepet kelar,positive
knp sii kemaren gabisa trs wifinya anjir,negative
lemot stress preinstall slesainya abad,negative
tolol ngeribetin mulu kerjaannya mahal gabecus tai,negative
mantap,positive
juancok error disaat,negative
pln bikin capek doang emg,negative
siang nyaman temani makan durian pake wifi gratisan connect sinyalnya ragukan,positive
halo min wifi jaringan internetnya tolong cek dm min,negative
lak pake soale buk,negative
erorrrr,negative
tag gmna,negative
weh knp sih,negative
siang tugas connect menemani lancar,positive
ah iyaa lgi mendukung bgt,positive
bingung nyalahin twitter,negative
tsel emang jelek bgt sinyalnya kosan aja deh buka twt aja loadingnya banget,negative
sore malang hujan gabisa anak deh,negative
error ya streaming (,negative
anjggg cowo gueee malahh loading,negative
udah ku hina,negative
ni ngapa si setan udh nunggu update gagal kali,negative
rusak gak,negative
error twitter,negative
oh twitter kirain maap suujon,negative
mjelek,negative
tower kau ancurin,negative
please fix your internet signal gue udah gak kuat banget,negative
tolong bersahabat ya,negative
internet kalo udah hujan deres,negative
ya allah,negative
gak macem-macem,negative
geprek aja emang suka digeprek,negative
woy lag banget gabisa refresh mentab,negative
nih sih lemot banget dah ah,negative
sih bikin kesel,negative
monyet kebiasaan bgt kalo ujan langsung lemot,negative
asu,negative
error twt yg error,negative
twitter kirain yg eror,negative
anjing,negative
ngapasih caper,negative
jelek cuih,negative
download kecepatan maksimal coba barlangganan rasakan sensasinya,negative
lo knapa sintinggggg,negative
lemot ya,negative
deh,negative
jelek,negative
sialan tbtb ngelag,negative
wifi lag bgt anjir,negative
ngga direstuin diving jelek banget dahk lu,negative
ngelag,negative
horor,negative
adaapa ku tolong cek,negative
ya allah ngajak ribut pls,negative
bayarnya internet kabel kak pilih,negative
jleg bgt,negative
kyk nya pln pulsa pdam tp cmiiw ya brader,negative
internetan jam non stop emang,negative
kebutuhan internet kebutuhan pelajar mahasiswa yuk nikmati internetan sepuasnya,positive
tolong lelet yyy,negative
anak,negative
bayar diskon k,positive
berhenti berlangganan gimana ya min,negative
selamat siang berhenti berlangganan dibantu online terima kasih,negative
bayar min,negative
lemot e dungaren,negative
semnjak pasang dirumah pengenx online ngemil sampe gak sadar klo berat badan,positive
anj,negative
kalo terlambat bayar dikenakan denda gak kalo dendanya ya,negative
min jaringan rumah connect wa sore teknisi rumah dibatalkan min terima kasih,positive
matiii,negative
emang jaringannya g bagus kah,negative
drama,negative
koneksi internet lancar nyaman banget kerja main game mantap,positive
lu ngethrottle steam ya ajg,negative
dedikasi teknisi sf bener gercep,positive
lupa sarapan biar semangat jalanin pake biar kerjaan lancar,positive
goblok,negative
ga permintaan nambah kecepatan mbps mbps tagihan gede piyee,negative
kerja ayang saham lancar gaiss happy valentines,positive
internet nya pake gak mengeluh tuh lancar sih,positive
tolong wifi nya ngelag bgt anjir dipake ngegame,negative
lgi si indigo nyari ribut mulu deh,negative
lo ngeselin,negative
selamat siang warna merah los,negative
halo wifi dirumah barnya full tp no connection tolong ditindaklanjuti ya min thankyou,negative
sumpah gangguan wasalam bgt,negative
ya udah coba sesuai intruksi tdk mohon bantuannya min,negative
goblok ngapain sih,negative
pls jan lemot pas kek wktu jan skrg,negative
nomor ganggungan jaringan makassar brp ya cari nomor google gak angkat,negative
pls laaaa w cape,negative
internet mati min,negative
lag,negative
hii ya udh coba sesuai intruksi dibawah ga tolong bantu terimakasih,negative
sebenernya pake celana anak aja liat,negative
gajelass,negative
wtf happend to u gabisa maen dota,negative
berulah guys nama yayan suryana nd internet nd voice berhenti langganan ruter diambil teknisi aja tagihan muncul meras wooy ( buka story nya ),negative
why whyyyyyy,negative
napose lemot kon,negative
jg mz,negative
kek tai,negative
kabel kabel,negative
gue lampu modemnya merah match ingame disconnect),negative
doyan main ml tpi kek tai,negative
gajelaaassssssssss,negative
makasih lancar,positive
ku los ya,negative
use for a better experience,positive
lemot parah,negative
tai,negative
kenape dah,negative
sih internetnya kadang kadang ilang,negative
knp lemot y,negative
duh mengecewakan sih,negative
pelayanannya mengecewakan,negative
atv gak niatan berhentiin netron ape minimal wanda ralf,negative
anjir,negative
tolong kerjasamanya,negative
lg anjir,negative
keren bgt,positive
ikutan nih lumayankan kalo menang,positive
bagus aing ge pindah megapision,negative
alhamdulillah neng surabaya berkat diangkat pns alhamdulillah rumah yk yg pake d,positive
gilee jaringan lalot bgtt parahhh ihh,negative
jelekkkkk bangeetttttt,negative
ccd,negative
kumat ngentot,negative
sobat ragu bingung gabung aja sobat gampang banget loh,positive
tanam buahan rumah ngsi wktu kuang disela kesibukan kerja untung oekerjaan selesai nanem buahan jg tutorial dr youtube biar berbuah manis,positive
asu pinter asu ne,negative
nih ya yg hobi nonton motogp udh ditonton lo spotv tv,positive
halo sobat tips dicoba maksimal jaringan wifi aktivitas batas,positive
bingsitt,positive
kabel jaringan telkom kayaknya coba infoin kw telkom,negative
bpjs kesehatan aja ya error disuruh restart router bpjs error disuruh clear cachetemplate ya bun,negative
gini nih gak sahabatan buffering guys,negative
ako lemot bgt,negative
capek jd user,negative
wow ya ldr an full jam gtu gak pake internet nya ngelag tuh,negative
abis olahraga sarapan nasi goreng sarapan pagi nonton film hotstar pake biar mantap nontonnya,positive
leweih ka kabel sih,negative
streaming youtube lemot lagu an kerjaan beres semangat pejuang dunia maya untung internet lancar jaya,positive
mu lemot ga pren,negative
suka ngeluh karna kuota internet boros sedih jg klo lg bokek tp beli kuota mulu trus temen yg rekomendasiin pasang wifi aja gokil bener hemat internet lancar nyesel tau skrg ya,positive
belajar english lg gengs langsung prakteknya gak prlu pake arti simple n mudah dimengerti lupa dsave ya pake jaringan gengs biar lancar downloadnya,positive
sobat meningkatkan kecepatan internet bingung pilih add-on yuk simak perbedaan upgrade speed speed on demand biar nggak bingung deh pilih add-on,positive
bingung internetmu loss merah nggak khawatir care kasih tau langkah-langkah mengatasi internet los merah,positive
min makasih yaaa wfh ku lancar banget pake jaringan,positive
tobat anjir,negative
ya rumah beli kuota lemot banget pake wifi kalo gitu,negative
jgn berulah pwis,negative
ga ragu pake jaringan stabil kencang dijamin kegiatan belajar rumah aman terkendali,positive
pakai jaringan lancar jaya aman terkendali mudah menjalani aktivitas sehari-hari,positive
omg pls deh,negative
awakening my violent impulses,negative
jumat berkah semoga kerja lancar support jaringan stabil in,positive
anjing lemot bgt,negative
hai kak masyitoh terima kasih apresiasi baiknya menenami aktifitas kakak jaga kesehatan selamat menjalani aktifitas kak have a nice day ) -wanda,positive
bingung makan siang pakai search ah ojek online nggak bingung cepet dapet inspirasi makan xixixi anyway semangat selasa,positive
maap ya emang bau banget,negative
middle finger,negative
info wifi bagus,positive
aneh banget najis,negative
semangat jumat kelarin kerjaan biar weekend besok nyantai rumah pake,positive
jumat berkah semoga kerja lancar support jaringan stabil tamb,positive
sambut jumat pagi senyuman buka laptop sambungin jaringan aktivitas kerja,positive
cek dm min urgent,negative
cape banget gue jujur,negative
semenjak berlangganan tv uda menikmati channel menarik tonton,positive
suka banget nonton film disney untung disney hotstar koneksi nonton film seru gak mikir kuota internet habis nonton film rumah aja,positive
tolong urgent bgt wifi mati dr pagi smp skrg dipakai lampu berkedip restart tlg ya yg sekolah meeting,negative
yahh mas mas kemarin gada,negative
ga pake kak,negative
mahal lelet licik,negative
selamat pagii semangat yakarena proses lika likunya yuk bangkitsemangat usaha istirahat main game online pakai jg,positive
banget bgstttt buffering otak gue kaya pake internetan make,negative
nyangkut dikabel wifi,negative
sport today channel sea today bahas mandalika seru banget gak sih pastinya,negative
min copot layanan udh ga yg pake mekanismenya gmna ya tq,negative
kemarin ngelag banget nggak sih,negative
wifi ga stabil gimana yg pake tpi putus mulu,negative
kau knpasi,negative
sih ya allah,negative
hahaa plis bener bgt semoga gue ga main main kyk kmrin,negative
informatif bangeeeettttt makasih,positive
tolong ya gw kelass,negative
selasa pagi butuh banget moodbooster kerja ditemenin dzikir favorite didukung jaringan lancar,positive
tolong bantu down lokasi bandung,negative
selamat pagi selasa lupa aktivitas batasmu,positive
halo selamat pagi min min wifi eror ya router nyala kedip merah membayar tagihan,negative
kak ngeleg kakkkkk,negative
paaggiiii yuukk yuukkk yg hobi tiktokan hihihii lancar banget nih aq tiktokan internetnya pake,negative
internet semalam mati min tolong solusinya butuh banget nih id,negative
min cek dm mati semalem costumer care web offline,negative
min internet ya,negative
halo min tolong cek dm terima kasih,neutral
halo min cek dm,neutral
min mohon bantuannya knp kalo pake tdk connect cctv sdgkan kalo pake jaringan bisa,negative
tolong nih gue make speed yg mbps udeh mulu kemaren orang udah nawarin rumah gue kalo tetep langganan tolong kerjasamanya gue pindah nih,negative
siap min,neutral
mantap gan terimakasih,positive
yg gamer gan,neutral
min help me internet jam internet ping speed bagus cuman jam internet,negative
berarti mati nih min,negative
jangan dimatiin dongg,negative
ping ms ping server localhost terbaik dah semoga aman kedepannya,positive
cek dm,neutral
dari kemarin ngantri doang min gak pergerakan samaskali,negative
cek dm gan,neutral
halo tolong cek dm ya,neutral
kapan min krumahnya,negative
hai kak notbersabda untuk registrasi dpt link atau berkenan jg dpt m,neutral
hai kak wahyuukzterima kasih ketertarikan anda layanan area anda cek tercakup jari,positive
please cek dm min terkait kendala jaringan,negative
tolong cek jaringan daerah sarua ciputat tangerang selatan krn connect,negative
sampe kerumah wow,neutral
halo mohon infonya internet mati jam,negative
udah dm yah mohon dicek,neutral
halo pemasangan gimana ya,positive
aja jaringan gue bikin los gimana tolong kerjasama nya gue bayar kalo lu melayani konsumen mah kecewa gue jangan sampe gue pindah nih tolong respon gue urgent,negative
tolong balas dm,neutral
ayodong lakukan perbaikan kmaren loh laporkan blm diperbaiki ganggu aktivitas bgtttttt kerjaaaaa kerjaaaa kerjaaaa,negative
bgt responnya pengaduan kmaren sampe skrg blm perbaikan kzllllllll bgt ganggu bgt nggk ngerjain apa ayo cptan perbaiki,negative
internet matii yah tolong cek dm,negative
klo ping reply min situsnya aja gak id pelanggan dah dm,negative
udah ketiga wifinya mati gimana,negative
saia bilang anak muda,neutral
min nyepi bali mati ga,neutral
bikin dota gua abaddon hahaha,negative
sama jugakk,neutral
dota update gmn recon recon valorant jg packet loss salah server salah,negative
wifi id kisaran tergantung kecepatan kalo ga slaah mbps kalo an mbps tapii suka ngga cover areanya biaya pasanganya sejuta kalo ga salah itu aman unlimited ngga kaya indihomo,neutral
wkwk beralih langganan internet csnya bot susah jawabannya template,negative
halo kakk daerah pondok tjandra sidoarjo error ya pingnya ms mulu,negative
mjb ak jg pke tp kosan pke indihomo asuuuuu kesaalll,negative
halo min nyala nyala ya sore udah dikasih tau call center gangguan t,negative
halo min nyala nyala ya sore udah dikasih tau call center gangguan sampe nyala nyala,negative
akhirnya pasang,positive
gangguan ya,negative
wkwk pascabayar asli mahal banget dah kek harga wifi papah pake kartu halo gue tau fee dibayar bulannya tapi emang enak sih gak ribet isi pulsa isi paket,positive
internet dah dimatiin wifi yg,negative
biasanya aja yg hidup,neutral
hai mimin senang puas layanan yuk ajakin tementemen biar aktivitas digital lancar ya thanks mng,positive
terima kasih feedback respon cepat diberikan wifi normal kembali berharap terulang lagi karena puas salam sehat selalu terima kasih,positive
perbulan nya brp ya kak,positive
kapan ya hadir desaku kucinta,positive
daerah sepatan masuk min,neutral
ahh pls lemotnya jgn jam segini deh daring nyebelin banget,negative
komtol,negative
gembel,negative
ill say it sucks fase marah ga ngerjain kerjaan anjing lemot banget,negative
yaampun babik,negative
nyesel sih kalo ga nonton,positive
bukan ekonomis jaringannya cmn dia tehtering hp gak stabil apalg zoom meeting klo cmn nonton bokep ya kali aja bisa harga aja beda tipis,positive
password admin untuk semua tipe modem,neutral
udah mentok kyknya ya dari jaman cakupan area nya ga perkembangan,negative
sih cihanjuang cuman lg deadline loss please cbnmyrep kesini,negative
lo sadar kontolodon,negative
hi terkait kendala layanan indikasi kendala bersamaan detail informasinya cek link ya trimsafn,neutral
alhamdulillah daerah rumahku internetnya aman aja nya udah ga gangguan sm udah ganti,positive
infoo guys jaksel udah bener belom ya,neutral
downnya bangettt huft,neutral
hi mohon dm mimin id pelanggan mimin cek yadmr,neutral
gangguan mulu dah sekarang,negative
kalo bole kelebihan dah bang,negative
fyp provider internet dirumah ganti,negative
pas dikasi kabar home buka promoan tarik kabel ya tentu saya berpaling koneksi stabil berkontribusi kestabilan emosi jg soalnya so far home terbaiq down time gara kabel pedot x resolve in less than h semua,negative
sumpaah down mya banget ampe skrng blom beres beres beneran besok gw ngungsi nih kayaknya,negative
gangguan kh,neutral
emang mending citranwt,neutral
ngomongin ini,neutral
emang parah w cs onlinenya ga kooperatif ga tau knp yg disalahin tetangga sebelah,negative
buat yg dipelosok daya maunya yg cuman ya nasib kalo gangguan seharian,negative
buset pagi ampe malem no internet gabisa akses internet samsek gimana nih,negative
lahhh ko yaaa giliran ko sepi aja baeeeee,negative
hmmm ga rame ya pdhal temen gue yg ngeluh nih,negative
provider sampah,negative
pengguna keluhkan google down tak bisa akses zoom,neutral
ga takut kena azab ya,neutral
yg nih masuk trending topic,neutral
bro what the hell,neutral
sulit percaya yg jd penyelamat outage seharian,negative
baca komennya ngeri banget banget dirugikan gara,negative
ayodong yg ngalamin keluhann speak up biar seruu,negative
tuman lek mari udan mesti sinyal e ampas,negative
jelek bangett gakuat,negative
wah kaco banget pantes daritadi ngelag mulu,negative
lemot ya,negative
tunggu masuk depan langsung putusin dah wkwk,negative
pengguna kayanya sial ya dibikin susah mulu,negative
keseringan gangguan ga sih,negative
argghhh stream,neutral
min nya lemot bgt ciracas jakarta timur dm donk asap,negative
lg down,negative
hari wifi sih tadi kantor indiehome lemot puol kos pake lelet,negative
iya anjmau compe di tgg payan dr siang ga bs payah lah,negative
sempet sempetnya down giliran tagihan aja full payment nih,negative
musim ujian uhb sma jatim gangguan mulu kena rudal rasya,negative
aswwwwwwwwwww kapan ini bener gw dah bener,negative
iyaa bagus doang instlasi jutaan,negative
anjg lemot,negative
internet emang lg kaga gmn sih lu doang,neutral
promo menarik,positive
rekomen tp lemot masaa,negative
demi allah perang aja yuk,negative
yaelah penyakit nyusahin orang nya ga sembuh njir,negative
aneh aja maen genshin impact aja ga gayaan ekspansi,negative
gak siii dm coba biar arahin temen,negative
ungkap penyebab utama layanan internetnya down,negative
fetish nya emang dirujak netizen deh,negative
kalo gamers bagus pake provider sich mau beralih,positive
tinggal nunggu aja melebarkan sayap pelosok gulung tikar dah,negative
ini down aaaaamaaatttt yaaaaaaaaakkk,negative
napa yaaa,neutral
rata bagus sekalinya jelek mati total,negative
ganti aja sis satsetsatset manteppp,positive
kaya kontol,negative
udah pilihan bener emang pindah,negative
banyak third party services diblock isp ini untung pindah,negative
bandung pake tp cepet denger dr sepupu bagus apa iya reputasinya tergantung daerah tp kalo jakarta yg direkomen,neutral
bestie pindah aja kualitas oke harga oke,positive
cok monmaap nih lg ngaco ngelag,negative
sudah langganan cuma x lemot hujan lebat tapi sebentar aja selebihnya never complained asli sebagus itu but today beuuh hampir ndak percaya down gini but manusia ya,negative
iya nih rusuh ya,negative
lu knp si mengajak berantem kh,negative
layanan internet dilaporkan down pengguna senin pagi wib pihak tanggapan gangguan ini,negative
layanan dikeluhkan down ini penyebabnya,negative
ingfo udah bener belom,neutral
kalo nge down besok gw ngungsi tlj kali yak wkwkwkw duh elaah jajan mulu nih ahahaha,neutral
di daerah gue blm tercover pdhal bagus,positive
down provider ikutan lemot ya dirumah gw lemot sampe dah xl ikutan lemot,positive
layanan internet dilaporkan down senin pagi pengguna mengeluh susah mengakses google streaming,negative
info balikpapan semoga tinggal cepet tercover amin,positive
ungkap penyebab layanan internet down hari ini senin maret,neutral
pagi ngelag anjir,negative
kontol kaga nyalanyala memek,negative
wth lemot parah drtd siang,negative
taiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii lemot bgt anj,negative
sejumlah pengguna mengeluhkan mengakses google sejenisnya mengonfirmasi gangguan apa penyebabnya,neutral
emang down liat tweet orang kaya gangguan anjir,negative
menguji iman banget,neutral
hadeh pgn mukulin org yg pake,neutral
gembel emang nyuruh gak kerja gini,neutral
my wifi is finally working againnnn love u,positive
duh ampun dah gue mah,neutral
min knp ni lag parah id,negative
ini ngapa lemod bgt si,negative
doooownnn yaampun kukira laptopku yg kentang taunya wifiku hadeh,negative
tumbenan gangguan,negative
bikin emosi sih min,negative
koneksinya jelek parah bgttt,negative
capek hati pakai baru langganan gangguan lebih trouble lancarnya sungguh kangen gig langganan trouble kali,negative
saya pertanggungjawaban provider pelanggan internet yg gangguan berjamjam kali gangguan,negative
benernya gak kerjaremote pc client pagi,negative
halo gangguan koneksi bali resolve ya,neutral
seninsenin ngeluh gw garagara gw ngeluh twitter aja dah,negative
trnyt nya gangguan link internasional,negative
bantu cek internet ya id,neutral
negri tim perbaikan lanjut mohon maaf ketidaknyamanan ditimbulkan info dr skolahku td pke jg,positive
oh kirain binzed,neutral
diinformasikan sesuai notifikasi senin maret mengalami kendala perangkat jaringan internasional mengakibatkan penurunan performansi layanan internet arah server internasional berdampak akses server,negative
nah udah aman nih gokil gaperlu konfirm langsung dibenerin mari ngeyoutube,neutral
pasang sabtu kemarin down rese betttt,negative
lg error ya,negative
nape lemot bgt sih tumben,negative
senin senin mabukk email numpuk lemot banget tumbenan,negative
dh bayar mahal niehhh jan down napa anjj,negative
oalahh down anjengg,negative
halo udah sejam jaringan rto,negative
lu lola banget tuhan,negative
sudah hari internet mati dan tidak ada solusi dari teknisi datang mengganti router dan di set password baru tapi tidak diinfokan meresahkan,negative
lo anjg bgt serius,negative
normal,positive
oh,neutral
ni aduhh,neutral
min tolong info ya pagi,positive
koneksi internet gue loyo banget dah kecewa,negative
karyawan monyet semua,negative
internet dunia dah cuman tiktok ama wasap doang ajg apenih tugas gua gimana kumpulnya nya trouble kah mas gen manggis gimana mas,negative
oh o terossss,neutral
katanya bermasalah server internasional server lokal kena dampak tapi browsing produk mobile app tokopedia lemot parah apa tokopedia pakai server non lokal,neutral
down pas closing gini oiiiiii,negative
ayolah lagi wfh nih,neutral
min infonya kalo langganan sewabeli router,positive
internet lambat,negative
hari senin mendung brekele ini ceritanya disuru bobo kah,neutral
oh ampas ya pastes,negative
soalnya kalo dipake terusan daily gt jd bizpak neng,negative
gue ambil orbit backupan rumah dibawa kemana mana,positive
yuk normal sinyalnya,positive
aduh lemot banget pagi menghambat pekerjaan,negative
halo halo nih,neutral
tumbenan wkwk,neutral
ampas banget gak gaweeee,negative
yaallah maleh ngene,neutral
ok downnnn,negative
sampe ya lemot,negative
setengah jam download ginian doang gabisa huu,negative
omg stress bgt ini byk kerjaan woy,negative
seriously senin sih internet nya problem,negative
lu jgn ngada gw kelassssssssszzzz,negative
plis dah lemot xl gausa ikutan deh lu,negative
anjeengg,negative
ni gangguan yaelahhhh,negative
lemot parah,negative
begini layananmu puarah banget gak sesuai janji putus nyambung nonton filem buffering terus teknisi gak mengatasi masalah,negative
apakah pengen libur ini,neutral
wifi kosan pake server kantor pake emang pertanda ga bole kerja,positive
kapan bangkrut cacad bet gk niat bet,negative
kantorkuh kenapaahhhhh,neutral
uda d rumah mati ga perbaikan,negative
mon maap tlg lemot bgt td prak itmkg jd telat masuk zoom zzz,negative
mo seharian gini downnya,negative
ngentod lelet bgt,negative
ini aku lagi war sjkdnfkjsnfik,neutral
halo knp koq internet connectionnya slow bgt ya klo buka google gmail,negative
gangguan kah,neutral
kno sih nih lemot banget kerjaan gue terbengkalai semua buka google vs gofood cepetan gofood datengnya,negative
tolong ngelag banget,negative
tumben jelek,negative
to be fair sebenernya relatif ok sebenernya sisi harga reliability dsb dibanding bbrp isp yg pern,positive
gentian angel banget connect google,negative
koncol,negative
tolong mati senin aja kek host meeting,neutral
halo akses aplikasi home karna username passowrdnya gimana ya ka,positive
woi mahal doang pelayanannya sampah maksimal ngga di sosmed ngga chat live ngga ada yang bales tai,negative
are u kidding me,neutral
gangguan ada kendala,negative
kaliini lemooooot bgt yaallah,negative
wtf,negative
kenapa gak bisa buka spreadsheet sih anjg,negative
bisanya kalo error nomor customer service nya tidak terdaftar gimana nih,neutral
yang mikir coba pake mending jangan jauh pake errornya gak gak separah yang paling penting customer service yang bisa di hubungi,positive
lg gangguan saya internet tp yg gabsa connect,negative
anjritlah ini knp tb ngedrop,negative
jadi gitu sekarang udah gak peduliin keluhan bangsat,negative
ini cek speed bisa tpi buka google ga bisa ini yg down,negative
ngentot,negative
sumpaaaaaaaah mnt lg gue uprak taiiii gw lg dirumah lg sial bgt,negative
gangguan ga si,neutral
belom stabil etdah,neutral
googling aja gabisa anjriittttt kenapadaahh,negative
huft gak selemot lho buka apps lama ya,negative
ngapain o mulu pagi kerjaan keganggu ini,negative
error gimana si buka google aja lemot,negative
gak stabil kah,neutral
min tolong diperiksa jalur internasionalnya seluruh layanan google via koneksi diakses,positive
kontol,negative
sucks ass now,negative
udah ya bentar lg gue uprak sumpah,negative
wkwkwkw nelpon cs jaringan sibuk byk org yg telp csnya utk complain,negative
udah yuk ngambeknya,positive
mati nyala mati nyala teros ya mantap bor,negative
niat revisian nyari sumber idiot~~,negative
weh lg knp yak connected tpi ko lemot,positive
lemot bgt dah orang lg kerja kuliah ganggu bgt,negative
jgn bilang gangguan lg dah,positive
lg jelek banget anjwing,negative
udah gak down bersyukur dah gak errornya apresiasi gak error seharian itung ngasih review bagus wkwk,positive
udah bisaaaaaaaaaaaaaa,positive
hah aku kira ku doang yang kek asu ginii,negative
masih belum bisa bobrok,negative
tolong ga seru banget gue gabisa buka photo anjir,negative
hallo internet wifi gk dipakai samsek sudah coba chat fitur live chatting kali chat missed tolong bales dm saya thanks,positive
min tolong respon tlpon nya toko ramai ga buka email sma ga proses orderan,positive
yaallah ngaco daritadi,negative
dafuq napa ni tai,negative
senin loh napasi gangguan,negative
sehat semua pekerja wfh remote bergantung padamu,positive
slmt siang no id pelanggan nama merita rostiati alamat jln nuri blok a no pondok pekayon indah bekasi melaporkan koneksi internet semalam ganguan utk buka email aja susah tolong dibantu,positive
gangguannya dipakai sosmed fb twitter ig,negative
down aja terus kontol,negative
kalo kecewa sebenernya harapan kalo normal ya kenceng kalo namanya dongkol karena emang udah ga harapan tau mati juga,positive
senin udah gangguan kerjaan,negative
tolol,negative
hadeh knp,neutral
kenap sih lemot mulu heran,negative
lgi knpa njg,negative
woey kerjaan gw,neutral
anjing anjing absen aja susahhh,negative
kuliah online gangguan dah,negative
lemot,negative
dimohon kerjasamanya,positive
kintil ujian error,negative
knp sih anjg berulah lg,negative
down kah kok nggak,neutral
ni si lemot disconnect lapor disuruh restart doang hadehhhhhh,negative
sumpah dah aja tai nya kek bzzzzzzzzzzz no hope bgt isp indo,negative
tolong informasi yg sinyal wifi ini semoga cepat pulih,positive
min tolong banget lg zoom ulangan,neutral
ya allah ampas,negative
jancok meh garap ulangan cokkk,negative
halo ya ini kerjaku terhambat hiks,negative
wilayah bandung gangguan kah,neutral
kntol,negative
kntl,negative
napa lola senin,neutral
pls lg ni anjc lemot bgt pls abis praktikummmm,negative
samaan jelek banget,negative
terbaikk,positive
bangsat tau hidden feenya ngeselin banget,negative
admin second media galau mulu indihomo homie,positive
knp deh anjing,neutral
udah masuk nder jaringan,positive
mahal ntar masuk cilegon taun gatau kapannya,positive
sumpah gajelas bet,negative
indihom lemot bgt nich upgrade,negative
hdeh slowrespon bgt ni tugas w kececeran,negative
please deh kenapa sih ya ampuuuuun kok suka disconnected sih,negative
btw teknisinya gak sih nanya,positive
ganti aja kak,neutral
anjiiiiiiinnnnggggg,negative
setann,negative
yg nomor sales yg dihubungi ditanya pengen pasang tp bingung cari kontaknya dimana,positive
makanya pake,positive
lgi bermasalah kah dritadi gabisa trs,neutral
knp caper bgt jd kek indihm anjg lemot parah,negative
kok jelek banget ya,negative
data seluler mati semua,neutral
wifi gue nyala,positive
kalo ga kepasang kecewa sih ama jangan narik kabel doang modemnya ga dipasangin,positive
ini gabisa dibayar deh,neutral
anjggg wifi jelek bgt tai,negative
aman,positive
denger kudu langganan minimal yak bener ga sih,positive
lagian ini kenapa mati sih sialaann,negative
enya euy merah ngedip kitu lah alus kang,negative
g tau semangat kak lancar soalnya,positive
tomorrow org yg gak berlangganan wifi,positive
apaansi ngelag bat anjeng maen valo,negative
semoga besok masi lancar internetan,positive
bsk idup w off sosmed hihi on youtube,positive
iya hotel kantor nyala,positive
tolong kostan ripuh banget jaringannya besok keknya ganti insha allah,positive
cepet dr indigo,positive
plis mati pas nyepi beso,positive
lelet banget sih kerjanya mau registrasi aja udah jam ga follow up dr telkom kalau daerah gw ga gw sentuh ni,negative
aaah kesyel di jalan utama udah ada tp blom masuk komplek jaraknya meter terpaksa stuck fm,positive
coba ganti wkwk,neutral
halo terima kasih ketertarikan kamu mohon info lokasi lengkap alamat km via dm dpt langsung kunjungi website home seputar cakupan area tim sales digital thanksdra,positive
fakkk ilang pas kuliah,negative
ni jgn sampe gue bilang bapuk ya bentar no internet connection mulu elahh,negative
min nanya besok bali mati gak,positive
apakah besok nyepi ikutan off mesti co oren,positive
hi siang kamu dm ya id pelanggan kamu mimin bantu cek lanjut thanksdra,positive
udah x seminggu jaringan eror,negative
